"","item_1","item_2","item_3","item_4"
"2014-01-01",511.464314694867,206.866519106519,199.11149773774,105.135247752069
"2014-01-08",498.085798379834,215.44791863132,202.379130687364,109.555013090096
"2014-01-15",478.568209273663,227.077259994127,203.322385298183,107.760286327684
"2014-01-22",609.747280449749,260.368549988992,206.895699902411,113.807527749831
"2014-01-29",525.71687052847,252.796163658861,205.21675424,110.602921027456
"2014-02-05",526.724958943291,257.551078118127,209.160095505494,104.393720898113
"2014-02-12",483.414955803069,271.166240907129,196.563779972621,101.26537973952
"2014-02-19",594.436431506156,345.963749027984,201.1155034003,101.12072265529
"2014-02-26",481.298979084943,344.257175746359,206.078248708865,102.682844948855
"2014-03-05",497.884253865731,346.524938779419,200.373103248342,104.111636694962
"2014-03-12",452.750819657446,445.321741516381,191.717710000522,108.084574246009
"2014-03-19",564.281937624888,477.58519909435,188.608249945098,110.956525134226
"2014-03-26",464.473154063367,457.053406779533,195.018025197967,112.110847621824
"2014-04-02",458.74328949438,444.208130604093,187.156482037058,112.891901550951
"2014-04-09",462.844106119697,454.162134719007,191.350234006554,113.150346869581
"2014-04-16",451.72918342037,292.912528779506,191.452211415981,116.300959647559
"2014-04-23",616.047597860532,294.635617444508,198.668272353107,119.56100761653
"2014-04-30",521.771136519948,275.521962917075,208.842547683021,111.880198305857
"2014-05-07",514.473347567352,266.553945902242,200.043803430936,112.727688945144
"2014-05-14",477.831106306475,266.136577755818,199.876417161858,100.669641762443
"2014-05-21",616.439626661966,262.107705957203,207.648187425395,102.439194867178
"2014-05-28",519.716549442374,244.780530763953,205.561386870385,105.196690288331
"2014-06-04",543.010140499379,232.744508630164,205.694141396087,99.2346347497245
"2014-06-11",509.921183484707,217.406685615243,199.756521963139,98.925261075803
"2014-06-18",477.258259465551,208.959061613916,191.700865040132,95.636865930955
"2014-06-25",773.837276367533,183.647925222616,187.839282292572,96.8943863190664
"2014-07-02",780.899535415609,176.749539339277,195.711337400635,95.5431170349938
"2014-07-09",705.18467044495,162.940002601137,199.826445182279,190.19873927693
"2014-07-16",665.622610969934,155.048390784869,190.132677740074,191.589040782663
"2014-07-23",952.080992019314,158.270798798368,195.567596880023,94.8932252864123
"2014-07-30",507.938424103999,162.469591530699,201.878925759855,99.3982807606244
"2014-08-06",503.204367557574,151.107913772799,192.883596971763,98.7905651888584
"2014-08-13",498.17740739101,144.686714426874,190.824110991681,101.044173529348
"2014-08-20",641.485840734004,145.027393288,192.535721225594,90.4131636467885
"2014-08-27",524.739335086868,134.260088471822,194.151367049693,88.0059017738153
"2014-09-03",537.936853436565,143.954229479227,200.751290999423,84.5059872330116
"2014-09-10",503.735552881347,136.051957311111,194.373133084133,84.892861587361
"2014-09-17",484.543053193562,121.478793185758,191.148082560523,85.7550718756398
"2014-09-24",638.506548164271,138.378468454731,201.739859637617,92.9801792946759
"2014-10-01",499.178659742862,134.870484445433,207.084663722779,94.5920541392001
"2014-10-08",502.031608773257,130.630457965115,206.930563214475,94.6218260930349
